GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
web-application Maven Webapp,default,Register,52,63,7,5,18,16,8,2,2,2
web-application Maven Webapp,default,Login,11,49,0,4,7,15,2,4,2,2
